date,info by,author_name,author_location,type of review,title,rated,time_posted,paragraph,date_of_experience,reply_author,reply_date,reply_paragraph,review_sentiment,reply_sentiment
2024-09-12 19:29:01,Info for AS,AS,US,Verified,very good experience,4.0,2024-09-11T14:05:33.000Z,"very good experience. The website is a little difficult to navigate. I like the RX & products. Had an issue initially (side effect) took a few days for doctor to respond but overall satisfied. After 10 weeks, not seeing the results i wanted. Will hold RX for the time (still finishing the last month RX products) but hope to return soon after I consult family physician",05 September 2024,Reply from By Winona,2024-09-12T08:31:34.000Z,"Thank you for sharing your feedback! We're glad to hear that you had a positive experience overall and that you're satisfied with the RX and products. We truly appreciate your patience while waiting for a response from the doctor regarding the initial side effects, and we understand how important timely communication is.We’re sorry to hear that you haven’t yet seen the results you were hoping for after 10 weeks. Every journey is unique, and sometimes it can take a bit longer to see the full benefits. We completely support your decision to consult with your family physician and pause the RX for now. If you decide to return, we’ll be here to assist you in any way we can.Thank you again for choosing Winona. We're always striving to improve, and your feedback on the website navigation is valuable to us. We look forward to helping you in the future, and we wish you the best in your continued journey to better health!",0.0653125,0.2751748251748252
2024-09-12 19:29:01,Info for Amy,Amy,US,Verified,Winona!! Thank you,5.0,2024-09-12T22:00:27.000Z,Saw Winona on Facebook and was willing to try anything after years of debilitating hip and back pain. I tried everything else and was even considering stem cells when I came across Winona.  I filled out the form and was contacted within a day. The doctor asked me a few more questions and then prescribed estrogen and DHEA. I had my products the next week and I swear within 3 weeks my hip and back pain were gone. I didn't want to tell anyone with fear it may come back at any time. It's been 3 week and still gone. Dr Peter checked back in with me at 10 weeks asking how everything was going and said he would check back at 1 year again but to please reach out if any concerns or changes. Love this product and that someone was willing to listen to my concerns and not dismiss that they couldn't find anything wrong. It changed my quality of life. Thank you,10 September 2024,,,,0.0923076923076923,0.0
2024-09-12 19:29:01,Info for Lisa M Wehr,Lisa M Wehr,US,Verified,Ease of medication and knowledge,5.0,2024-09-09T23:54:56.000Z,The ease of the medication and the knowledge of the doctors make this product and company outstanding. I have been seeing results from 10 weeks of usage. Thank you!,02 September 2024,Reply from By Winona,2024-09-10T09:20:09.000Z,"Thank you so much for your kind words! We’re thrilled to hear that the ease of the medication and the expertise of our doctors have made a positive impact on your experience. It’s wonderful to know that you’ve been seeing results after 10 weeks of use.Your satisfaction and progress mean a lot to us, and we're grateful for your trust in Winona. If you have any more questions or need further support, we're always here for you. Thanks again for sharing your experience and for being a valued part of our community!",0.625,0.3571969696969697
2024-09-12 19:29:02,Info for Ericka Fisher,Ericka Fisher,US,Verified,Winona is every woman’s answer to menopause,5.0,2024-09-01T15:45:23.000Z,"I was hesitant about starting HRT and put it off for awhile. The community of women on Winona’s FB group are super supportive and open about their positive experience and symptom improvement is what convinced me to try. The process with Winona is relatively seamless and all of my questions were answered prior to agreeing to accept the prescription. My meds arrived ahead of schedule and almost immediately I started to see an improvement of symptoms. 10 weeks in and feel like my old self. About 9 weeks in, I started having oily skin and sent a message to my Winona Dr. The next morning I had a response to adjust my Dhea. The responsiveness on the platform is unbelievable. So glad I made the decision to go with Winona. Don’t second guess yourself, just do it.",01 September 2024,Reply from By Winona,2024-09-02T18:25:38.000Z,"Thank you Ericka! This is an amazing review!It can be hard to reach out to an online platform for menopause help, but this is all we do, and we are passionate about helping women! The process is working just as we had hoped, and we love that it is working for you too! Please keep us posted on your progress! :)",0.1258838383838384,0.30541666666666667
2024-09-12 19:29:02,Info for Ann-Marie McCollough,Ann-Marie McCollough,US,Verified,Ease and Speed,5.0,2024-08-27T16:47:20.000Z,"The ease and speed with which I was able to interact and receive my prescription is really what makes Winona exceptional. In addition, my symptoms are improving with each passing day. After 10 weeks of use, I am finally feeling back to my old self!",27 August 2024,Reply from By Winona,2024-08-28T10:20:14.000Z,We're so glad you’ve had such a positive experience with us! It’s great to hear that the ease and speed of getting your prescription stood out and made a difference. We're even more thrilled that you’re feeling like your old self again after just 10 weeks. That’s amazing progress! Thank you for 5 stars!,0.24861111111111112,0.46519886363636365
2024-09-12 19:29:02,Info for Megan G,Megan G,US,Verified,Love being able to message with a…,5.0,2024-08-26T14:22:44.000Z,Love being able to message with a doctor about my specific symptoms and get a personalized recommendation. Almost all of my symptoms have went away in the first 10 weeks! So grateful for Winona and am recommending to all my friends & family. What a difference it's made in my life and my husband's life. :),25 August 2024,Reply from By Winona,2024-08-27T09:32:51.000Z,"We’re so happy to hear that Winona has made such a positive difference in your life—and your husband’s too! It’s fantastic that you’re seeing results so quickly and that the personalized care has been helpful. Thank you for spreading the word to your friends and family! We're thrilled to be a part of your journey, and if there's anything else you need, we're here for you!",0.3625,0.44179292929292924
2024-09-12 19:29:03,Info for Amanda McCormack,Amanda McCormack,US,Verified,Winona gave me my life back,5.0,2024-08-29T14:33:35.000Z,"Winona gave me my life back ten weeks ago. I was in such a black cloud of emotions, night sweats, extreme hunger along with weight gaiN, and had been to my GP and OB-gyn, and was told it was all just part of aging.  Luckily, I found Winona. EVERYTHING has settled down since starting the HRT cream and DHEA. My weight is still not back where I’d like it, but the climb up has stopped.  All other symptoms are gone!   My husband and daughter (and I) could not believe the incredible improvements!",29 August 2024,Reply from By Winona,2024-08-30T09:36:19.000Z,"Thank you so much for sharing your experience Amanda. We're truly moved to hear that Winona has made such a difference in your life. It’s disheartening when symptoms are brushed off as ""just part of aging,"" but we're glad you found us and that the HRT cream and DHEA have brought you relief. Your journey is a powerful reminder of why we do what we do, and it’s wonderful to hear that your husband and daughter have noticed the incredible improvements too. We're here to support you as you continue on this path, and we’re cheering you on every step of the way!",0.06635101010101009,0.42857142857142855
2024-09-12 19:29:03,Info for Dionne,Dionne,US,Verified,A miracle!,5.0,2024-08-25T21:16:23.000Z,I have been using Winona for my menopause needs and I have been very pleased!! I've been telling everyone that I know about this company.  I went from feeling old and achy to LITERALLY feeling like a 30year old kid again AT 10 WEEKS IN!  I began to feel a subtle difference within the first week of taking my prescriptions.  Getting set in with a doctor is easy and shipping is fast!  Thanks Winona!,17 August 2024,Reply from By Winona,2024-08-26T10:09:18.000Z,We’re so thrilled to hear that Winona has made such a remarkable difference for you Dionne! It’s fantastic that you’re feeling like a 30-year-old again and that you started noticing improvements so quickly. Your enthusiasm and recommendations mean the world to us. We’re here to keep supporting you and making sure you continue to feel your best. Thanks for being such a great advocate for Winona!,0.259375,0.40902777777777777
2024-09-12 19:29:03,Info for Erin ,Erin,US,Verified,Finally feeling like myself!,5.0,2024-09-05T17:10:20.000Z,I really noticed a difference in how I felt & slept after about 10 weeks. So give it a chance to work. I’m so glad that I did & stayed consistent.,05 September 2024,Reply from By Winona,2024-09-06T08:36:30.000Z,"Thank you for sharing your experience! It’s wonderful to hear that you felt a noticeable improvement after sticking with the treatment. Consistency can make all the difference, and we're so glad you gave it the time to work. We're here for you every step of the way!",0.31666666666666665,0.8125
2024-09-12 19:29:04,Info for Karen Santosuosso,Karen Santosuosso,US,Verified,Great team of support professionals,5.0,2024-08-31T21:41:42.000Z,Great team of support professionals. Easy delivery system ! So far I have made it through my first 10 weeks . No hot flashes !,31 August 2024,Reply from By Winona,2024-09-02T18:11:19.000Z,Thank you for the kind review Karen! We're so glad to hear that you've had a great experience so far!  No more hot flashes is definitely worth celebrating! Just remember that we are all here to support you every step of the way.,0.3070833333333334,0.36428571428571427
